Chromosome,Start,End,Build
1,51880,52088,GRCh37
1,56894,57175,GRCh37
1,58333,58338,GRCh37
1,58417,58462,GRCh37
1,88135,88143,GRCh37
1,254184,254294,GRCh37
1,255995,256037,GRCh37
1,528044,528047,GRCh37
1,582400,582414,GRCh37
1,4024750,4025075,GRCh37
1,4026870,4027328,GRCh37
1,4114400,4114423,GRCh37
1,4151910,4151961,GRCh37
1,4155014,4155091,GRCh37
1,4249593,4249599,GRCh37
1,4265273,4265600,GRCh37
1,4290722,4290960,GRCh37
1,4292421,4292444,GRCh37
1,4297613,4297672,GRCh37
1,4302288,4302301,GRCh37
1,4337600,4337674,GRCh37
1,4377131,4377175,GRCh37
1,4397733,4397894,GRCh37
1,4401000,4401072,GRCh37
1,4406570,4406843,GRCh37
1,4408617,4408619,GRCh37
1,4409657,4409660,GRCh37
1,4418474,4418800,GRCh37
1,4442250,4442358,GRCh37
1,4454354,4454400,GRCh37
1,4460192,4460369,GRCh37
1,4465670,4465896,GRCh37
1,4479679,4479726,GRCh37
1,4498370,4498885,GRCh37
1,4561887,4562016,GRCh37
1,4564724,4565275,GRCh37
1,4602902,4602998,GRCh37
1,4605047,4605113,GRCh37
1,4607345,4607504,GRCh37
1,4610581,4610676,GRCh37
1,4640868,4640877,GRCh37
1,4652110,4652200,GRCh37
1,4652400,4652420,GRCh37
1,4679219,4679259,GRCh37
1,4682933,4683400,GRCh37
1,4912515,4912606,GRCh37
1,4915745,4915749,GRCh37
1,4932982,4933002,GRCh37
1,4936206,4936208,GRCh37
1,4964636,4964649,GRCh37
1,4967452,4968180,GRCh37
1,5067305,5067571,GRCh37
1,5068490,5068544,GRCh37
1,5086931,5086936,GRCh37
1,5090179,5090379,GRCh37
1,5122427,5122440,GRCh37
1,5139942,5139945,GRCh37
1,5140736,5140739,GRCh37
1,5143676,5143734,GRCh37
1,5144608,5144700,GRCh37
1,5146346,5146385,GRCh37
1,5151142,5151154,GRCh37
1,5185678,5185692,GRCh37
1,5186288,5186335,GRCh37
1,5195927,5195964,GRCh37
